iter	Passed	Remaining
341	1171	2253
342	1174	2249
343	1177	2246
344	1181	2242
345	1184	2239
346	1188	2236
347	1191	2232
348	1194	2228
349	1197	2224
350	1200	2219
351	1204	2216
352	1207	2212
353	1210	2209
354	1214	2205
355	1217	2201
356	1220	2197
357	1223	2193
358	1225	2188
359	1228	2184
360	1231	2179
361	1234	2175
362	1237	2171
363	1240	2167
364	1243	2163
365	1246	2159
366	1249	2154
367	1252	2151
368	1256	2147
369	1258	2143
370	1261	2139
371	1264	2135
372	1267	2131
373	1270	2127
374	1274	2123
375	1277	2119
376	1280	2116
377	1283	2111
378	1286	2107
379	1289	2103
380	1292	2099
381	1295	2095
382	1298	2091
383	1301	2088
384	1304	2084
385	1307	2080
386	1310	2076
387	1314	2072
388	1317	2068
389	1320	2065
390	1323	2061
391	1326	2057
392	1329	2053
393	1333	2050
394	1336	2046
395	1339	2043
396	1343	2040
397	1346	2037
398	1350	2034
399	1353	2030
400	1357	2027
401	1360	2023
402	1364	2021
403	1368	2018
404	1371	2014
405	1374	2011
406	1378	2009
407	1382	2005
408	1385	2002
409	1388	1998
410	1391	1994
411	1394	1990
412	1398	1987
413	1401	1983
414	1403	1979
415	1407	1975
416	1410	1971
417	1413	1968
418	1416	1964
419	1419	1959
420	1422	1956
421	1425	1952
422	1429	1949
423	1432	1945
424	1435	1941
425	1438	1937
426	1441	1933
427	1444	1930
428	1447	1926
429	1450	1922
430	1453	1919
431	1457	1915
432	1460	1912
433	1463	1908
434	1466	1905
435	1470	1901
436	1473	1898
437	1477	1895
438	1480	1892
439	1483	1888
440	1487	1884
441	1490	1881
442	1494	1878
443	1497	1875
444	1500	1871
445	1504	1869
446	1508	1866
447	1512	1863
448	1516	1861
449	1520	1857
450	1523	1854
451	1527	1851
452	1531	1848
453	1534	1845
454	1537	1841
455	1541	1838
456	1544	1835
457	1547	1831
458	1549	1826
459	1552	1822
460	1555	1818
461	1558	1815
462	1561	1810
463	1564	1806
464	1566	1802
465	1569	1798
466	1572	1794
467	1575	1790
468	1577	1786
469	1580	1782
470	1583	1778
471	1585	1774
472	1588	1770
473	1591	1766
474	1594	1762
475	1597	1758
476	1600	1755
477	1603	1751
478	1606	1747
479	1609	1743
480	1612	1740
481	1615	1736
482	1618	1732
483	1621	1729
484	1624	1725
485	1627	1721
486	1630	1717
487	1633	1713
488	1636	1709
489	1638	1705
490	1641	1701
491	1644	1697
492	1647	1693
493	1649	1689
494	1652	1685
495	1655	1681
496	1657	1677
497	1660	1673
498	1662	1669
499	1665	1665
500	1668	1661
501	1670	1657
502	1673	1653
503	1676	1649
504	1678	1645
505	1681	1641
506	1684	1637
507	1687	1634
508	1690	1630
509	1693	1627
510	1696	1623
511	1698	1619
512	1702	1616
513	1705	1612
514	1708	1608
515	1711	1605
516	1715	1602
517	1718	1598
518	1721	1595
519	1724	1591
520	1727	1588
521	1730	1585
522	1734	1581
523	1737	1578
524	1741	1575
525	1744	1572
526	1747	1568
527	1751	1565
528	1755	1562
529	1758	1559
530	1761	1556
531	1765	1553
532	1769	1550
533	1773	1547
534	1776	1543
535	1779	1540
536	1783	1537
537	1786	1534
538	1789	1530
539	1792	1527
540	1796	1523
541	1799	1520
542	1803	1517
543	1806	1514
544	1809	1510
545	1812	1507
546	1816	1504
547	1819	1500
548	1822	1497
549	1825	1493
550	1828	1489
551	1831	1486
552	1835	1483
553	1838	1479
554	1841	1476
555	1844	1473
556	1848	1470
557	1851	1466
558	1854	1463
559	1858	1459
560	1861	1456
561	1864	1452
562	1867	1449
563	1871	1446
564	1874	1442
565	1877	1439
566	1880	1436
567	1883	1432
568	1886	1429
569	1889	1425
570	1892	1421
571	1895	1418
572	1898	1414
573	1901	1411
574	1904	1407
575	1907	1403
576	1910	1400
577	1913	1396
578	1916	1393
579	1919	1389
580	1921	1386
581	1924	1382
582	1927	1378
583	1930	1374
584	1933	1371
585	1935	1367
586	1938	1363
587	1941	1360
588	1943	1356
589	1946	1352
590	1949	1348
591	1952	1345
592	1954	1341
593	1957	1337
594	1959	1334
595	1962	1330
596	1965	1327
597	1968	1323
598	1971	1319
599	1974	1316
600	1978	1313
601	1979	1308
602	1982	1305
603	1985	1301
604	1988	1298
605	1991	1294
606	1994	1291
607	1996	1287
608	1999	1283
609	2002	1280
610	2005	1276
611	2008	1273
612	2010	1269
613	2013	1266
614	2016	1262
615	2019	1259
616	2022	1255
617	2025	1251
618	2028	1248
619	2030	1244
620	2033	1240
621	2036	1237
622	2038	1233
623	2041	1230
624	2044	1226
625	2047	1222
626	2049	1219
627	2052	1215
628	2055	1212
629	2057	1208
630	2060	1205
631	2063	1201
632	2066	1198
633	2069	1194
634	2072	1191
635	2075	1187
636	2077	1184
637	2080	1180
638	2083	1176
639	2085	1173
640	2089	1169
641	2092	1166
642	2095	1163
643	2098	1160
644	2101	1156
645	2104	1153
646	2107	1149
647	2110	1146
648	2113	1143
649	2116	1139
650	2119	1136
651	2122	1132
652	2125	1129
653	2128	1125
654	2131	1122
655	2134	1119
656	2137	1115
657	2140	1112
658	2143	1108
659	2146	1105
660	2149	1102
661	2152	1098
662	2155	1095
663	2158	1092
664	2160	1088
665	2163	1084
666	2165	1081
667	2168	1077
668	2171	1074
669	2173	1070
670	2176	1067
671	2178	1063
672	2181	1059
673	2183	1056
674	2186	1052
675	2189	1049
676	2192	1045
677	2194	1042
678	2197	1038
679	2199	1035
680	2202	1031
681	2205	1028
682	2207	1024
683	2210	1021
684	2213	1017
685	2215	1014
686	2219	1011
687	2222	1007
688	2225	1004
689	2228	1001
690	2231	997
691	2234	994
692	2238	991
693	2241	988
694	2244	985
695	2247	981
696	2250	978
697	2253	975
698	2256	971
699	2259	968
700	2263	965
701	2265	961
702	2269	958
703	2272	955
704	2275	952
705	2278	948
706	2281	945
707	2284	942
708	2287	938
709	2290	935
710	2293	932
711	2295	928
712	2298	925
713	2302	922
714	2305	918
715	2308	915
716	2311	912
717	2313	908
718	2317	905
719	2319	902
720	2322	898
721	2325	895
722	2328	891
723	2330	888
724	2334	885
725	2336	881
726	2339	878
727	2342	875
728	2345	872
729	2349	868
730	2352	865
731	2355	862
732	2357	858
733	2360	855
734	2364	852
735	2367	849
736	2369	845
737	2372	842
738	2375	839
739	2378	835
740	2382	832
741	2385	829
742	2388	826
743	2391	822
744	2393	819
745	2397	816
746	2399	812
747	2402	809
748	2405	806
749	2408	802
750	2411	799
751	2414	796
752	2417	793
753	2420	789
754	2423	786
755	2425	782
756	2428	779
757	2431	776
758	2434	772
759	2436	769
760	2439	766
761	2442	762
762	2445	759
763	2447	756
764	2450	752
765	2453	749
766	2455	745
767	2458	742
768	2461	739
769	2464	736
770	2467	732
771	2469	729
772	2472	726
773	2475	722
774	2478	719
775	2481	716
776	2484	713
777	2487	709
778	2490	706
779	2493	703
780	2496	700
781	2499	696
782	2502	693
783	2506	690
784	2509	687
785	2512	683
786	2514	680
787	2517	677
788	2520	673
789	2522	670
790	2525	667
791	2528	663
792	2530	660
793	2533	657
794	2536	653
795	2538	650
796	2541	647
797	2544	644
798	2547	640
799	2549	637
800	2552	634
801	2555	630
802	2558	627
803	2560	624
804	2563	621
805	2566	617
806	2568	614
807	2571	611
808	2574	607
809	2577	604
810	2581	601
811	2583	598
812	2586	595
813	2590	591
814	2593	588
815	2596	585
816	2599	582
817	2602	579
818	2605	575
819	2608	572
820	2611	569
821	2614	566
822	2618	563
823	2621	559
824	2624	556
825	2627	553
826	2630	550
827	2633	547
828	2636	543
829	2640	540
830	2643	537
831	2646	534
832	2649	531
833	2652	527
834	2655	524
835	2658	521
836	2661	518
837	2663	514
838	2666	511
839	2669	508
840	2672	505
841	2675	501
842	2677	498
843	2680	495
844	2683	492
845	2685	488
846	2688	485
847	2691	482
848	2694	479
849	2696	475
850	2699	472
851	2702	469
852	2705	466
853	2708	463
854	2711	459
855	2714	456
856	2717	453
857	2721	450
858	2724	447
859	2727	444
860	2730	440
861	2734	437
862	2737	434
863	2741	431
864	2744	428
865	2747	425
866	2750	421
867	2753	418
868	2757	415
869	2760	412
870	2763	409
871	2766	406
872	2769	402
873	2772	399
874	2775	396
875	2778	393
876	2781	390
877	2784	386
878	2787	383
879	2790	380
880	2793	377
881	2796	374
882	2800	371
883	2803	367
884	2806	364
885	2809	361
886	2812	358
887	2815	355
888	2818	351
889	2822	348
890	2825	345
891	2828	342
892	2831	339
893	2834	336
894	2837	332
895	2839	329
896	2842	326
897	2846	323
898	2849	320
899	2852	316
900	2855	313
901	2858	310
902	2861	307
903	2864	304
904	2867	300
905	2870	297
906	2873	294
907	2876	291
908	2879	288
909	2882	285
910	2885	281
911	2888	278
912	2891	275
913	2894	272
914	2898	269
915	2901	266
916	2904	262
917	2907	259
918	2910	256
919	2913	253
920	2917	250
921	2920	247
922	2923	243
923	2926	240
924	2929	237
925	2934	234
926	2937	231
927	2941	228
928	2945	225
929	2949	221
930	2952	218
931	2956	215
932	2959	212
933	2963	209
934	2967	206
935	2970	203
936	2974	199
937	2977	196
938	2981	193
939	2984	190
940	2987	187
941	2990	184
942	2994	180
943	2997	177
944	3000	174
945	3003	171
946	3006	168
947	3010	165
948	3013	161
949	3016	158
950	3019	155
951	3022	152
952	3026	149
953	3029	146
954	3032	142
955	3035	139
956	3038	136
957	3042	133
958	3045	130
959	3048	127
960	3051	123
961	3054	120
962	3057	117
963	3060	114
964	3063	111
965	3066	107
966	3069	104
967	3072	101
968	3076	98
969	3079	95
970	3082	92
971	3085	88
972	3088	85
973	3092	82
974	3095	79
975	3098	76
976	3101	73
977	3104	69
978	3107	66
979	3110	63
980	3113	60
981	3116	57
982	3119	53
983	3122	50
984	3125	47
985	3128	44
986	3131	41
987	3134	38
988	3138	34
989	3141	31
990	3144	28
991	3147	25
992	3150	22
993	3153	19
994	3156	15
995	3159	12
996	3163	9
997	3166	6
998	3169	3
999	3172	0
