iter	Logloss
126	0.353135738
127	0.3517986041
128	0.3504945351
129	0.3490896041
130	0.3478899122
131	0.3469053781
132	0.3455289512
133	0.3441271654
134	0.3431746135
135	0.3415792596
136	0.3405301323
137	0.3388931796
138	0.3373757522
139	0.335977317
140	0.3349584135
141	0.3337071039
142	0.3324334996
143	0.3314502022
144	0.33061591
145	0.3296348329
146	0.3287372121
147	0.3275598756
148	0.3264447136
149	0.3254965315
150	0.3238883157
151	0.3228096984
152	0.3218021419
153	0.3208645515
154	0.3200868218
155	0.3191929426
156	0.3183633948
157	0.3176116426
158	0.3163222123
159	0.3147575072
160	0.3136448965
161	0.3123707123
162	0.3114595462
163	0.3105944496
164	0.3096189045
165	0.3087393034
166	0.3077880954
167	0.3066266475
168	0.3057933101
169	0.3047116226
170	0.3033584248
171	0.302426496
172	0.3016402054
173	0.3008113968
174	0.2993673716
175	0.2984092764
176	0.2977446246
177	0.2967537687
178	0.295875604
179	0.2949346218
180	0.294385708
181	0.293707725
182	0.2929422874
183	0.2920859996
184	0.2913984705
185	0.2903667452
186	0.2894108071
187	0.2882103541
188	0.2872250444
189	0.2862871848
190	0.2854757684
191	0.2847320625
192	0.2839663317
193	0.283227227
194	0.2823376899
195	0.281355703
196	0.2801375153
197	0.2794896409
198	0.2785963075
199	0.2777244655
200	0.2772126269
201	0.2764022654
202	0.2754645276
203	0.2747238788
204	0.2740426007
205	0.2733976867
206	0.272724961
207	0.271743972
208	0.2712617674
209	0.2705447985
210	0.2695872941
211	0.2688398106
212	0.2679062681
213	0.2670791711
214	0.2664746931
215	0.2657902218
216	0.2649227557
217	0.2639896941
218	0.2631758658
219	0.2621934744
220	0.2616477328
221	0.2607327516
222	0.2601599933
223	0.2593252876
224	0.2582531849
225	0.2571926732
226	0.2566035675
227	0.2560822117
228	0.2553247888
229	0.2545568167
230	0.2534704647
231	0.2527529751
232	0.2523251363
233	0.2513356816
234	0.2506604555
235	0.2501429334
236	0.2496525203
237	0.2488898597
238	0.2483685302
239	0.24793182
240	0.2471213764
241	0.246172129
242	0.2455857021
243	0.2448068898
244	0.2441120875
245	0.2433558391
246	0.2430018449
247	0.2424836849
248	0.2416397573
249	0.2412805062
250	0.240061324
251	0.2395451024
252	0.2389761254
253	0.2383888611
254	0.2376994483
255	0.2368958825
256	0.2363182205
257	0.2357971571
258	0.2354418718
259	0.234808054
260	0.2343345401
261	0.2335212025
262	0.233083632
263	0.2324247049
264	0.2320326975
265	0.2315530695
266	0.2307206936
267	0.2302742533
268	0.2292563589
269	0.2288477087
270	0.2281137229
271	0.2274861741
272	0.2268761989
273	0.2261779218
274	0.2257420934
275	0.2252108732
276	0.2246106072
277	0.2242680244
278	0.2236023699
279	0.2231946603
280	0.2228147972
281	0.2222746168
282	0.2216414738
283	0.2214151827
284	0.2209397877
285	0.2202981605
286	0.2199135516
287	0.2191323702
288	0.2185426722
289	0.2179795669
290	0.217679974
291	0.217121191
292	0.2167305257
293	0.2160898559
294	0.215330949
295	0.2148395885
296	0.2142332133
297	0.213916683
298	0.2134360945
299	0.2130600829
300	0.2124658216
301	0.2120219559
302	0.2117283007
303	0.2112160411
304	0.2107234376
305	0.210473371
306	0.2102033946
307	0.2094879596
308	0.2090562601
309	0.2086966548
310	0.2081873867
311	0.2078692291
312	0.2076256661
313	0.2071147516
314	0.2067026432
315	0.2063556748
316	0.2061282651
317	0.205459991
318	0.2048253395
319	0.204257988
320	0.2037219371
321	0.20331619
322	0.2026510344
323	0.2022318885
324	0.201878277
325	0.2012476902
326	0.2009698524
327	0.2005132999
328	0.200089978
329	0.1998273307
330	0.1995172546
331	0.1991133049
332	0.1986089139
333	0.1982006802
334	0.1977117114
335	0.1972101158
336	0.1967878124
337	0.1962085126
338	0.195824264
339	0.1954450836
340	0.1950889522
341	0.1946449835
342	0.1943403096
343	0.1940574961
344	0.1936673173
345	0.1931992327
346	0.1929376609
347	0.192662163
348	0.1922331482
349	0.1920295601
350	0.1917040715
351	0.1913521099
352	0.1911895815
353	0.1908131999
354	0.19056412
355	0.190277503
356	0.1900643425
357	0.1898591129
358	0.1894904521
359	0.1890070952
360	0.1885405217
361	0.1883063627
362	0.1877991538
363	0.1873772032
364	0.1869752081
365	0.1864800952
366	0.1862320739
367	0.1855441178
368	0.1852249042
369	0.184895758
370	0.1845210255
371	0.1841173206
372	0.183871986
373	0.1834504904
374	0.1830417383
375	0.1824984933
376	0.1819231964
377	0.1816691805
378	0.181236438
379	0.1808943767
380	0.180736863
381	0.1804969869
382	0.1803385169
383	0.1799415264
384	0.1797972535
385	0.1795412954
386	0.179198066
387	0.1789944532
388	0.1787741121
389	0.1785193146
390	0.1780299706
391	0.1774205595
392	0.1771700135
393	0.1768661513
394	0.1765650286
395	0.1761680208
396	0.1759147475
397	0.1755573438
398	0.1754469197
399	0.1750768494
400	0.1746963562
401	0.1744475282
402	0.1741262985
403	0.1737862769
404	0.173540121
405	0.1731388209
406	0.1729352227
407	0.172627061
408	0.1720905574
409	0.1718982908
410	0.1714002591
411	0.1711671716
412	0.1707875065
413	0.1704760018
414	0.170116964
415	0.1697677228
416	0.1696689103
417	0.1693762436
418	0.16908445
419	0.1687001635
420	0.1682429951
421	0.1678845054
422	0.1676955872
423	0.1675147343
424	0.1670786817
425	0.1666324157
426	0.166385618
427	0.1659606894
428	0.1656676617
429	0.1654571516
430	0.1652287563
431	0.1649131269
432	0.1645374898
433	0.1642292742
434	0.1638490404
435	0.1635858124
436	0.1632898652
437	0.163234933
438	0.1630117455
439	0.1628263904
440	0.1625932762
441	0.1622651336
442	0.1621268688
443	0.1618585197
444	0.1614122529
445	0.1611831964
446	0.1610274997
447	0.1609268841
448	0.1604965989
449	0.1602281017
450	0.1599368982
451	0.1595409336
452	0.1592941772
453	0.159127051
454	0.1588029014
455	0.158627121
456	0.1582363731
457	0.1580130679
458	0.1577123561
459	0.1573783489
460	0.1571464419
461	0.1568716997
462	0.1567272818
463	0.15646087
464	0.1562309295
465	0.1560351564
466	0.1556268098
467	0.1553359646
468	0.155126274
469	0.1548871184
470	0.1547275459
471	0.1544679186
472	0.1542708012
473	0.1539963109
474	0.1538549954
475	0.1537038883
476	0.1533871942
477	0.1529093156
478	0.1527258683
479	0.1524880502
480	0.1524147852
481	0.1520904288
482	0.1517986936
483	0.1513369751
484	0.1510920247
485	0.1508388947
486	0.150480544
487	0.1503598645
488	0.1501518106
489	0.1499961232
490	0.1498811073
491	0.1495784828
492	0.1492246937
493	0.1490085567
494	0.1486547226
495	0.1484039047
496	0.1480683861
497	0.1478807949
498	0.1475343442
499	0.1470917058
500	0.1468350707
501	0.1466128991
502	0.1463303476
503	0.1461544404
504	0.1458506899
505	0.1455557151
506	0.1452680301
507	0.1449920786
508	0.1448852551
509	0.1446228575
510	0.1444495639
511	0.1441385761
512	0.1438175162
513	0.1434934147
514	0.1432219196
515	0.1430623344
516	0.1428714083
517	0.1425960671
518	0.1423135021
519	0.1419139396
520	0.1416466176
521	0.1415145435
522	0.1413574819
523	0.1411687143
524	0.1410339021
525	0.1407756918
526	0.1404703308
527	0.140063639
528	0.1399699157
529	0.1397881133
530	0.1397016843
531	0.1395916421
532	0.139251772
533	0.1390195545
534	0.1387469971
535	0.1385829291
536	0.1383912338
537	0.1382235986
538	0.1380806524
539	0.1378300542
540	0.1375329217
541	0.1373803053
542	0.1372585117
543	0.1370350677
544	0.1366343581
545	0.1364939873
546	0.1363160655
547	0.1361532181
548	0.1358430311
549	0.1357364377
550	0.1355334528
551	0.135390685
552	0.1353223466
553	0.1352051459
554	0.1348756949
555	0.1346869401
556	0.1345450938
557	0.1343588687
558	0.1342613075
559	0.1341188824
560	0.1340147864
561	0.1337845325
562	0.1334940188
563	0.1333679965
564	0.1330692573
565	0.1327621787
566	0.1324687979
567	0.1323772137
568	0.1320976589
569	0.1319646018
570	0.1316477203
571	0.1315776717
572	0.1313782346
573	0.1312032676
574	0.1310120686
575	0.1307511435
576	0.1306419575
577	0.1305033898
578	0.1303730963
579	0.1301796076
580	0.1299670515
581	0.1298239366
582	0.1296655937
583	0.1294739261
584	0.1293063179
585	0.1291684415
586	0.1289755623
587	0.1286264883
588	0.1285096722
589	0.1283433745
590	0.1281629104
591	0.1280133162
592	0.1279191334
593	0.1277032836
594	0.1275120089
595	0.1274184266
596	0.1270428664
597	0.1268521735
598	0.1266578076
599	0.1263955284
600	0.1261941359
601	0.1260013685
602	0.1259016316
603	0.1256123826
604	0.1254346731
605	0.1252152267
606	0.1249949767
607	0.1248911597
608	0.1246693322
609	0.1245123583
610	0.1241899069
611	0.1239301064
612	0.1237671503
613	0.123541877
614	0.1233625097
615	0.123242969
616	0.1229827719
617	0.1228699257
618	0.1227321632
619	0.1226117648
620	0.1224905672
621	0.1222699483
622	0.1219884052
623	0.1218184892
624	0.1216376533
625	0.1215610414
626	0.1214331621
627	0.1213488714
628	0.1210565282
629	0.1208429164
630	0.1206813698
631	0.1205599428
632	0.1203817991
633	0.1201973239
634	0.1200518736
635	0.1198157282
636	0.1195539948
637	0.1194345839
638	0.1192731917
639	0.1191651244
640	0.1190165311
641	0.1189415912
642	0.1188303914
643	0.1185834895
644	0.118495636
645	0.1182723608
646	0.1182048456
647	0.1180911372
648	0.1179629354
649	0.1176386089
650	0.1175040194
651	0.1174379535
652	0.1173841526
653	0.1173479842
654	0.1170412392
655	0.116974527
656	0.1167908645
657	0.1167049168
658	0.116460567
659	0.1163902875
660	0.1162211445
661	0.1160890456
662	0.1159962116
663	0.1157159445
664	0.1156568895
665	0.1154470361
666	0.1153303955
667	0.1152725242
668	0.1150954032
669	0.1149570462
670	0.1147800714
671	0.1146574875
672	0.1144323904
673	0.114357347
674	0.1143280478
675	0.1141781612
676	0.1140569598
677	0.1139286637
678	0.1137959222
679	0.1136819357
680	0.1135731336
681	0.1134811895
682	0.1133027234
683	0.113188305
684	0.1130737921
685	0.1129273409
686	0.1127932102
687	0.1126841119
688	0.1124427259
689	0.1122461617
690	0.1119276135
691	0.111768206
692	0.1116730724
693	0.1115456947
694	0.1113677017
695	0.1112545249
696	0.1110691035
697	0.1109223583
698	0.1107786879
699	0.1106730917
700	0.1103945363
701	0.1102470992
702	0.1100617332
703	0.1099247078
704	0.1097237606
705	0.109469332
706	0.1092650658
707	0.1090270101
708	0.1088134703
709	0.1086645194
710	0.1084450468
711	0.108249168
712	0.1080941157
713	0.1079923424
714	0.1079059509
715	0.1077713074
716	0.1076188567
717	0.1073467372
718	0.1072530507
719	0.1071038111
720	0.1068750642
721	0.1066788075
722	0.1065216282
723	0.1063989378
724	0.1062034084
725	0.1061436605
726	0.1059903476
727	0.1058163995
728	0.105697266
729	0.1055943546
730	0.1054866299
731	0.1052436671
732	0.1051927715
733	0.1050796546
734	0.104929229
735	0.1046925596
736	0.1046048635
737	0.1045473012
738	0.1043637346
739	0.1042563413
740	0.1041652991
741	0.1039586255
742	0.1038432316
743	0.1037714519
744	0.1037368954
745	0.1036762861
746	0.103604999
747	0.1033965357
748	0.1032062567
749	0.1031172613
750	0.1029725127
751	0.1028922961
752	0.1027963161
753	0.1026589586
754	0.1026244081
755	0.102582241
756	0.1024178229
757	0.1023279563
758	0.1021890423
759	0.102061019
760	0.1019062336
761	0.1016517675
762	0.1014935753
763	0.101251246
764	0.1010725318
765	0.1009521724
766	0.1007619504
767	0.1006373257
768	0.1005112293
769	0.1004432305
770	0.100333441
771	0.1001518455
772	0.1000000718
773	0.0998552138
774	0.09973998265
775	0.09962568868
776	0.09954121728
777	0.09931138551
778	0.09912467978
779	0.09901310213
780	0.09893707059
781	0.09889450313
782	0.09875135902
783	0.09857326034
784	0.09850333772
785	0.09835071009
786	0.09813158242
787	0.09803762601
788	0.09781926908
789	0.09774507966
790	0.09759973505
791	0.09736185104
792	0.09726894277
793	0.09710837685
794	0.09685174249
795	0.09668234459
796	0.0966572979
797	0.09657018365
798	0.09636673912
799	0.09621185927
800	0.09613296446
801	0.09599516752
802	0.09594903802
803	0.09579308753
804	0.09564024023
805	0.09551512145
806	0.09530981007
807	0.09521161535
808	0.09512782022
809	0.09506523309
810	0.09492448291
811	0.09475874076
812	0.09462635097
813	0.09444439186
814	0.09430441092
815	0.09415143466
816	0.09412501743
817	0.09401554731
818	0.09383332729
819	0.09378208004
820	0.09371404003
821	0.09358073031
822	0.09347253176
823	0.0932784163
824	0.09318877016
825	0.09303572043
826	0.09291420193
827	0.09278775386
828	0.09272033239
829	0.0926719694
830	0.09245004294
831	0.09242569501
832	0.09229318976
833	0.09219787706
834	0.0920721315
835	0.09197758954
836	0.09191862592
837	0.09176044344
838	0.0916585165
839	0.09157401136
840	0.09143450875
841	0.09134032141
842	0.09124758483
843	0.09112998525
844	0.0909904459
845	0.09096095772
846	0.09086177409
847	0.09072688166
848	0.09052388998
849	0.09035104476
850	0.09018726844
851	0.09014088853
852	0.08993356108
853	0.08987364454
854	0.08972499655
855	0.08952055937
856	0.08944988926
857	0.08937284482
858	0.08933907935
859	0.08929755403
860	0.08922693714
861	0.089135122
862	0.08904067375
863	0.08894401601
864	0.08889514545
865	0.08880007267
866	0.08870021352
867	0.08866231172
868	0.08863781833
869	0.0885121515
870	0.08842291322
871	0.08835417595
872	0.08831819273
873	0.08826258947
874	0.08818313761
875	0.08808826351
876	0.08803665938
877	0.08796212433
878	0.08783144246
879	0.0876784752
880	0.08745644003
881	0.08737575783
882	0.08725690767
883	0.08722319318
884	0.0871067392
885	0.08701011895
886	0.08687815576
887	0.08677682937
888	0.08664850319
889	0.08647695577
890	0.08633426825
891	0.08624155042
892	0.08620507612
893	0.08615244035
894	0.0860402824
895	0.08598789629
896	0.08579163281
897	0.08568439769
898	0.08545653775
899	0.08532675182
900	0.08529509238
901	0.08523553497
902	0.08512598464
903	0.08497505218
904	0.08487729007
905	0.0847575762
906	0.08462789599
907	0.08446531926
908	0.08435760354
909	0.08425391095
910	0.08417518184
911	0.08404453371
912	0.08380484881
913	0.08368066197
914	0.08362253282
915	0.08347278121
916	0.08334965526
917	0.08323441961
918	0.08316556838
919	0.08312562127
920	0.08302482644
921	0.08291503693
922	0.08285761629
923	0.08274058801
924	0.08263597398
925	0.08251647679
926	0.08242315316
927	0.08231840718
928	0.08213520425
929	0.08207495782
930	0.08197639648
931	0.08193904799
932	0.08186837412
933	0.08171889392
934	0.08165813542
935	0.08151009398
936	0.08142346256
937	0.08140582334
938	0.0813543864
939	0.08122646959
940	0.08113943106
941	0.08094964387
942	0.08081620969
943	0.08074149846
944	0.08066084325
945	0.08050189603
946	0.08044067269
947	0.08031774692
948	0.08014890533
949	0.0799634944
950	0.07987923817
951	0.07976123672
952	0.07962601215
953	0.07948247967
954	0.07943750028
955	0.07931791686
956	0.07919749149
957	0.07912875946
958	0.07903445967
959	0.0790166525
960	0.07895679744
961	0.07888311035
962	0.07878346563
963	0.0787019962
964	0.078633765
965	0.07859200577
966	0.07853297542
967	0.0785166625
968	0.07840402246
969	0.07831837846
970	0.0782039053
971	0.07812020614
972	0.07802131791
973	0.07798658602
974	0.07790520281
975	0.07779127022
976	0.07772117741
977	0.07756535587
978	0.07744056174
979	0.07723062443
980	0.0771930885
981	0.07709769333
982	0.07694868322
983	0.07685499521
984	0.07677757365
985	0.0767100892
986	0.0764755273
987	0.07645309721
988	0.07636457119
989	0.07621878348
990	0.07610897898
991	0.07599757677
992	0.07590997669
993	0.07584224257
994	0.07576823834
995	0.07564646493
996	0.07560239198
997	0.07549803437
998	0.07532653194
999	0.07518404835
